Name,model
Generate Zero Footprint tool,Generate Zero Footprint Tool
GeSI-CDP Scenario Analysis Toolkit,GeSI-CDP Scenario Analysis Toolkit
GeSI-CDP Scenario Analysis Toolkit,GeSI-CDP Scenario Analysis Toolkit
GFDL,
GHG Protocol,
GIS flood maps,
GIS flood modelling,
GISS-E2.1,
GISS-E2.1,
Global Climate Model (GCM),GCM ensemble
Global Energy and Climate Model (IEA),IEA-related model
Green Star energy model,
GZA Scope 3 Calculator,GZA Scope 3 Calculator
GZA Scope 3 Calculator,GZA Scope 3 Calculator
HEVI methodology,
Homestar energy model,
IAG Group Natural Perils risk models,
IEA Announced Pledges Scenario (APS),IEA-related model
IEA Climate Scenarios,IEA-related model
IEA Global Energy and Climate Model,IEA-related model
IEA model,IEA-related model
IEA Net Zero by 2050 Scenario (NZE),IEA-related model
IEA Net Zero by 2050 Scenario (NZE),IEA-related model
IEA Net Zero Emissions by 2050,IEA-related model
IEA NZE,IEA-related model
IEA scenarios,IEA-related model
IEA SDS,IEA-related model
IEA Stated Policies Scenario,IEA-related model
IEA STEPS,IEA-related model
IEA World Energy Outlook 2023 (WEO),IEA-related model
IIASA SSP data framework,IIASA
IIASA SSP Database,IIASA
IIASA SSP Database (Version 2.0),IIASA
IIASA-WiC Model (SSP1),IIASA
IIASA-WiC Model (SSP3),IIASA
IIASA-WiC Model (SSP5),IIASA
IPCC AR5,IPCC SSP/RCP families
IPCC AR6,IPCC SSP/RCP families
IPCC RCP,IPCC SSP/RCP families
IPCC RCP pathways,IPCC SSP/RCP families
IPCC SSP,IPCC SSP/RCP families
IPCC SSP models (implied),IPCC SSP/RCP families
IPCC Tier 1,IPCC SSP/RCP families
IPCC Tier 2,IPCC SSP/RCP families
IPCC WGI Interactive Atlas,IPCC SSP/RCP families
ISO 14064-1:2018,
ISS ESG,ISS
JBA (flood model),
Jupiter,Jupiter
Jupiter (physical risk platform),Jupiter
Jupiter (platform),Jupiter
Jupiter Intelligence,Jupiter
Jupiter Risk Assessment,Jupiter
KatRisk SpatialKat,KatRisk SpatialKat
KatRisk SpatialKat,KatRisk SpatialKat
LandscapeDNA,
LCAQuick v3.4.3 (BRANZ),LCA model
MAGICCv7.5.3,
MAGICCv7.5.3,
Marsh Advisory physical risk model,Marsh
Marsh Advisory supply chain risk model,Marsh
MBIE EDGS scenarios,
Meridian Wholesale Market Outlook (WMO),
MESSAGEix-GLOBIOM 1.1,MESSAGEix-GLOBIOM 1.1
MfE,
Microsoft Excel,
MIROC,MIROC
Moody's EDF-X,Moody's
Moody's EDF-X tool,Moody's
Moody's RMS,Moody's
MRI-ESM2 (GCM flood),GCM ensemble
MSCI (physical risk scenario modelling),MSCI
MSCI physical risk modelling,MSCI
MSCI physical risk scenario modelling,MSCI
NARCliM,NARCliM
NASA NEX-GDDP,NASA NEX
NASA Sea Level Change Portal,
NASA-NEX,NASA NEX
NATHAN hazard zones (Munich Re),
NGFS,NGFS
NIWA,NIWA
NorESM2-MM (GCM ensemble),GCM ensemble
NorESM2-MM (GCM),GCM ensemble
not_found,
NZ SeaRise,NZSeaRise
NZ SeaRise,NZSeaRise
NZSeaRise,NZSeaRise
NZSeaRise research programme,NZSeaRise
OECD Env-Growth (SSP GDP projections),
OVERSEER®,OverseerFM
OverseerFM,OverseerFM
Oxford Economics GEM,Oxford Economics GEM
PACE (aircraft fuel burn model),PACE
Persefoni,Persefoni
Persefoni (platform),Persefoni
Planet Price,
Proprietary / Unnamed,Proprietary
Protecht (risk management software),
RCM (Regional Climate Model),RCM
reinsurance catastrophe modelling,reinsurance
reinsurance catastrophe models,reinsurance
REMIND-MAgPIE,REMIND-MAgPIE
risk-based flood pricing models,
S&P CapIQ Pro,
S&P Trucost| Global,S&P
SBTi,SBTi
Sentrisk,Sentrisk
SimaPro,SimaPro
SpheraCloud (Sphera),
SSP database,IIASA
SSP Database (IIASA),IIASA
SSP Database IIASA-WiC Model,IIASA
SSP3-7.0,IIASA
SSPs (Shared Socioeconomic Pathways),IIASA
SSPs (Shared Socioeconomic Pathways),IIASA
STEEP framework,STEEP
Swiss RE CatNet,Swiss
SwissRe flood data model,SwissRe
Takiwa sea rise projections,NZ SeaRise
technical pricing models,
technical pricing models,
THI (Temperature Humidity Index),
third party risk data (flooding),
third-party risk data (flooding),
Toitū carbon calculator,Toitu
Toitū emanage,Toitu
Toitū emanage (carbon calculator),Toitu
Toitū Envirocare target setting tool,Toitu
Toitu emanage,Toitu
Totum,Toitu
Transpower – Whakamana I Te Mauri Hiko,Transpower
Transpower data,Transpower
Transpower growth forecasts,IIASA
Transpower Whakamana I Te Mauri Hiko,IIASA
Treasury carbon pricing,NZ Treasury's CBAx 
Treasury New Zealand CBAx Tool,NZ Treasury's CBAx 
Urban Intelligence GIS platform,Urban Intelligence 
Urban Intelligence Resilience Explorer™,Urban Intelligence 
vendor flood models,
vulnerability and exposure tool,
Watershed Climate,
Wholesale Market Outlook (WMO),WMO Devolution
WMO Devo,WMO Devolution
WMO Devo (Devolution model),WMO Devolution
WMO Devo (Meridian Devolution model),WMO Devolution
WMO Devolution,WMO Devolution
WMO Devolution (Devolution),WMO Devolution
WMO Evo,WMO Devolution
WMO Evo (Evolution model),WMO Devolution
WMO Evo (Meridian Evolution model),WMO Devolution
WMO Evolution,WMO Devolution
WMO Revo,WMO Devolution
WMO Revo (Meridian Revolution model),WMO Devolution
WMO Revo (Revolution model),WMO Devolution
WMO Revolution,WMO Devolution
WMO23 Evolution model,WMO Devolution
World Meteorological Organisation,WMO Devolution
