,filename,answer,question
102,Climate-Report-2023-Westpac-NZ.pdf,Yes -baseline scenarios mentioned,q11
103,NZME Annual Report 2023 (including climate statement).pdf,Yes -baseline variables mentioned,q11
104,ICBC NZ Ltd CRD 31 Dec 2023.pdf,Yes -baseline scenarios mentioned,q11
105,ANZ_climate-report-2023.pdf,[ANZ-specific climate scenario narratives],q12
106,Sustainability Review & Climate Related Disclosures - FY23.pdf,[],q12
107,RLAL-NZ Climate-Related Disclosures 2023.pdf,"[Organisation for Economic Co-operation and Development, International Energy Agency]",q12
108,ICBC Ltd CRD 31 Dec 23  Final - For submission.pdf,"[IPCC Assessment Reports, NIWA, MfE, Shared Socioeconomic Pathways, Intergovernmental Panel on Climate Change, Network for Greening the Financial System, NGFS Climate Scenarios]",q12
109,HSBC NZ 2023 Climate Statement lodgement letter - signed.pdf,[],q12
110,RBD 2023 CRD.pdf,"[Shared Socioeconomic Pathways (SSP), IPCC scenarios, AR6 Working Group (WGIII) report, Intergovernmental Panel on Climate Change (IPCC) framework]",q12
111,2023 Climate Statements for Citibank N.A. (New Zealand Branch).pdf,"[Buddle Findlay, CCO]",q12
112,Z Climate Statements 2023 - FINAL.pdf,"[Network for Greening the Financial System (NGFS) scenarios, International Energy Agency (IEA) model, Climate Change Commission (CCC) scenarios]",q12
113,Ventia - 2023 Sustainability Report.pdf,[],q12
114,SC9600 Climate Related Disclosure Final Copy.pdf,"[Representative Concentration Pathways (RCPs), Shared Socioeconomic Pathways (SSPs), Coupled Model Intercomparison Project Phase 5 (CMIP5), Urban Intelligence Resilience ExplorerTM]",q12
115,QBE_NZ Climate Statement.pdf,[global climate models used by New Zealand's National Institute of Water and Atmospheric research (NIWA)],q12
116,Rabobank New Zealand Banking Group 2023 Climate Statements.pdf,"[Intergovernmental Panel on Climate Change (IPCC) Shared Socioeconomic Pathway (SSP) scenarios, Network for Greening the Financial System (NGFS) scenarios]",q12
117,AIA NZ Climate Related Disclosers Report FINAL_signed.pdf,[],q12
118,Resilient infrastructure for a decarbonising world (7) - FINAL 28.02.24 9.30pm.pdf,"[Intergovernmental Panel for Climate Change (IPCC) data, Shared Socio-economic Pathways (SSP), Coastal Climate Risk Assessment Report, Corporate Lead Team workshops, environmental experts, global references]",q12
119,NZL Climate Related Disclosure.pdf,[Aotearoa Circle's Agricultural Sector Climate Scenario work],q12
120,MIL0019_Climate_Related_Disclosures_2023.pdf,"[IPCC, other organizations]",q12
121,CDL0017_Climate_Related_Disclosures_2023.pdf,"[IPCC 5th and 6th Assessment Reports, AR6 Synthesis Report, climate change scenarios for New Zealand published by NIWA, future analysis incorporating external advice]",q12
122,Citibank N.A. (New Zealand Branch) - Statement - 29 APRIL 2024 .pdf,[],q12
123,2023 12 31 - PFI - Climate-related Disclosures - Signed.pdf,"[S&P Global Climanomics platform, NIWA's extreme sea level flood maps]",q12
124,Vista Group 2023 Group Climate Statement.pdf,"[The Network for Greening the Financial System (NGFS) frameworks, SSP1 (‘Net Zero 2050’), SSP2 (‘Delayed Transition’), SSP3 (‘Current Policies’), Vista Group’s scenarios]",q12
125,Bank of China (New Zealand) Limited Climate Related Disclosure for the year ended 31 December 2023.pdf,"[IPCC's Shared Socioeconomic Pathways (SSPs), Network for Greening the Financial System's (NGFS) Net Zero 2050 scenario, International Energy Agency's (IEA) Net Zero Emissions by 2050 scenario]",q12
126,Rabobank New Zealand Limited 2023 Climate Statements.pdf,"[Intergovernmental Panel on Climate Change (IPCC) Shared Socioeconomic Pathway (SSP) scenarios, Network for Greening the Financial System (NGFS) scenarios]",q12
127,Briscoe Group 2024 Annual Report.pdf,[The Network for Greening the Financial System (NGFS) scenarios],q12
128,CCBNZL Climate Report for the year ended 31 December 2023.pdf,"[internal assessments, climate considerations, solvency stress test, scenario analysis outputs, stress test, weather event scenario, 2023 ICAAP]",q12
129,NZX Annual Report 2023 (including climate statement).pdf,"[The IPCC, IEA, NGFS, Global Energy and Climate Model, GISS-E2.1 model, various other models]",q12
130,Chubb Life Insurance New Zealand Limited Climate Disclosure 2023.pdf,"[IPCC SSP1-1.9 emissions model, FMA Information Sheet: Climate-related Disclosures - Scenario Analysis]",q12
131,Bank of China New Zealand Banking Group Climate Related Disclosure for the year ended 31 December 2023.pdf.pdf,"[NZBA report, IPCC's Shared Socioeconomic Pathways, NGFS's Net Zero 2050 scenario, global climate parameters, socio-economic parameters, global energy and emission pathway parameters, New Zealand-specific climate parameters]",q12
132,nzm-cs-dec-2023.pdf,"[NZ Banking Group, Network for Greening the Financial System, Intergovernmental Panel on Climate Change, International Energy Agency, models]",q12
133,CCBNZBG Climate Report for the year ended 31 December 2023.pdf,"[internal assessments, high level climate considerations, solvency stress test, scenario analysis outputs]",q12
134,BNZ_2023-Climate-Report.pdf,"[SSP1-1.9, SSP2-4.5, SSP5-8.5]",q12
135,Seeka Limited Climate Disclosure 2023.pdf,"[]
",q12
136,kiwibank_sustainability_report2023.pdf,[National Institute of Water and Atmospheric Research (NIWA)],q12
137,Climate-Report-2023-Westpac-NZ.pdf,"[Representative Concentration Pathways 2.6, 8.5, National Institute of Water and Atmospheric Research (NIWA), sea level rise, potential flood risks, macro-economic models, socioeconomic outcomes]",q12
138,NZME Annual Report 2023 (including climate statement).pdf," [representative concentration warming pathways (RCPs), Intergovernmental Panel on Climate Change (IPCC) 6th assessment, Shared Socio-economic Pathways (SSP) scenarios, New Zealand]",q12
139,ICBC NZ Ltd CRD 31 Dec 2023.pdf,"[IPCC Assessment Reports, NIWA, MfE, Intergovernmental Panel on Climate Change (IPCC) Shared Socioeconomic Pathways (SSPs), Downscaled NZ climate change projections, Minister for the Environment (MfE), Network for Greening the Financial System (NGFS) Climate Scenarios, GDP, demographics, energy sources, trade policies, physical climate data, land use change, XRB, ICBC NZ, NZBA scenarios, CO2 concentration pathways, Shared Socioeconomic Pathways, IPCC, 6th Assessment Report (AR6)]",q12
140,ANZ_climate-report-2023.pdf,Yes,q13
141,Sustainability Review & Climate Related Disclosures - FY23.pdf,Yes,q13
142,RLAL-NZ Climate-Related Disclosures 2023.pdf,Yes,q13
143,ICBC Ltd CRD 31 Dec 23  Final - For submission.pdf, Yes;,q13
144,HSBC NZ 2023 Climate Statement lodgement letter - signed.pdf,Not sure,q13
145,RBD 2023 CRD.pdf,Yes,q13
146,2023 Climate Statements for Citibank N.A. (New Zealand Branch).pdf,Yes,q13
147,Z Climate Statements 2023 - FINAL.pdf,Yes,q13
148,Ventia - 2023 Sustainability Report.pdf,Yes,q13
149,SC9600 Climate Related Disclosure Final Copy.pdf,Yes,q13
150,QBE_NZ Climate Statement.pdf,Yes,q13
151,Rabobank New Zealand Banking Group 2023 Climate Statements.pdf,Yes,q13
152,AIA NZ Climate Related Disclosers Report FINAL_signed.pdf,"Yes
",q13
153,Resilient infrastructure for a decarbonising world (7) - FINAL 28.02.24 9.30pm.pdf,Yes,q13
154,NZL Climate Related Disclosure.pdf,Yes,q13
155,MIL0019_Climate_Related_Disclosures_2023.pdf,"Yes; both scenarios mention potential impacts on agriculture, infrastructure, and insurance premiums.",q13
156,CDL0017_Climate_Related_Disclosures_2023.pdf,Yes,q13
157,Citibank N.A. (New Zealand Branch) - Statement - 29 APRIL 2024 .pdf,Not sure,q13
158,2023 12 31 - PFI - Climate-related Disclosures - Signed.pdf,Yes,q13
159,Vista Group 2023 Group Climate Statement.pdf,Yes,q13
160,Bank of China (New Zealand) Limited Climate Related Disclosure for the year ended 31 December 2023.pdf,Yes,q13
161,Rabobank New Zealand Limited 2023 Climate Statements.pdf,Yes,q13
162,Briscoe Group 2024 Annual Report.pdf,Yes,q13
163,CCBNZL Climate Report for the year ended 31 December 2023.pdf,Yes,q13
164,NZX Annual Report 2023 (including climate statement).pdf,Yes,q13
165,Chubb Life Insurance New Zealand Limited Climate Disclosure 2023.pdf,Yes,q13
166,Bank of China New Zealand Banking Group Climate Related Disclosure for the year ended 31 December 2023.pdf.pdf,Yes,q13
167,nzm-cs-dec-2023.pdf,No,q13
168,CCBNZBG Climate Report for the year ended 31 December 2023.pdf,Yes,q13
169,BNZ_2023-Climate-Report.pdf,Yes,q13
170,Seeka Limited Climate Disclosure 2023.pdf,Yes,q13
171,kiwibank_sustainability_report2023.pdf,Yes,q13
172,Climate-Report-2023-Westpac-NZ.pdf,Yes,q13
173,NZME Annual Report 2023 (including climate statement).pdf,Yes,q13
174,ICBC NZ Ltd CRD 31 Dec 2023.pdf,Yes,q13
175,ANZ_climate-report-2023.pdf,Global model,q14
176,Sustainability Review & Climate Related Disclosures - FY23.pdf,Combined model,q14
177,RLAL-NZ Climate-Related Disclosures 2023.pdf,Global model,q14
178,ICBC Ltd CRD 31 Dec 23  Final - For submission.pdf,Combined model,q14
179,HSBC NZ 2023 Climate Statement lodgement letter - signed.pdf,Not sure,q14
180,RBD 2023 CRD.pdf,Global model,q14
181,2023 Climate Statements for Citibank N.A. (New Zealand Branch).pdf,Global model,q14
182,Z Climate Statements 2023 - FINAL.pdf,Combined model,q14
183,Ventia - 2023 Sustainability Report.pdf,Not sure,q14
184,SC9600 Climate Related Disclosure Final Copy.pdf,Combined model,q14
185,QBE_NZ Climate Statement.pdf,Global model,q14
186,Rabobank New Zealand Banking Group 2023 Climate Statements.pdf,Global model,q14
187,AIA NZ Climate Related Disclosers Report FINAL_signed.pdf,Global model,q14
188,Resilient infrastructure for a decarbonising world (7) - FINAL 28.02.24 9.30pm.pdf,Combined model,q14
189,NZL Climate Related Disclosure.pdf,Global model,q14
190,MIL0019_Climate_Related_Disclosures_2023.pdf,Combined model,q14
191,CDL0017_Climate_Related_Disclosures_2023.pdf,Combined model,q14
192,Citibank N.A. (New Zealand Branch) - Statement - 29 APRIL 2024 .pdf,Not sure,q14
193,2023 12 31 - PFI - Climate-related Disclosures - Signed.pdf,New Zealand model,q14
194,Vista Group 2023 Group Climate Statement.pdf,Global model;New Zealand model,q14
195,Bank of China (New Zealand) Limited Climate Related Disclosure for the year ended 31 December 2023.pdf,Combined model,q14
196,Rabobank New Zealand Limited 2023 Climate Statements.pdf,Global model,q14
197,Briscoe Group 2024 Annual Report.pdf,Global model,q14
198,CCBNZL Climate Report for the year ended 31 December 2023.pdf,Global model;New Zealand model,q14
199,NZX Annual Report 2023 (including climate statement).pdf,Global model,q14
200,Chubb Life Insurance New Zealand Limited Climate Disclosure 2023.pdf,Combined model,q14
201,Bank of China New Zealand Banking Group Climate Related Disclosure for the year ended 31 December 2023.pdf.pdf,Combined model,q14
202,nzm-cs-dec-2023.pdf,Combined model,q14
203,CCBNZBG Climate Report for the year ended 31 December 2023.pdf,Global model; New Zealand model,q14
204,BNZ_2023-Climate-Report.pdf,Global model,q14
205,Seeka Limited Climate Disclosure 2023.pdf,Combined model,q14
206,kiwibank_sustainability_report2023.pdf,Global model;New Zealand model,q14
207,Climate-Report-2023-Westpac-NZ.pdf,Global model,q14
208,NZME Annual Report 2023 (including climate statement).pdf,Global model,q14
209,ICBC NZ Ltd CRD 31 Dec 2023.pdf,Combined model,q14
210,ANZ_climate-report-2023.pdf,"['short term': 2030, 'medium term': 2050, 'long term': 2100]",q15
211,Sustainability Review & Climate Related Disclosures - FY23.pdf,"['short term': 0-5 years, 'medium term': 5-10 years, 'long term': 10-30 years]",q15
212,RLAL-NZ Climate-Related Disclosures 2023.pdf,"['short term': 2025, 'medium term': 2030, 'long term': 2050+]",q15
213,ICBC Ltd CRD 31 Dec 23  Final - For submission.pdf,"['short term': '3-7 year period, aligned with the bank's strategy review and risk appetite review', 'medium term': '8-27 year period, aligned with the time scale for climate change, NZBA Climate scenarios, and New Zealand legislation, including the Zero Carbon Act', 'long term': '28-50+ year period, aligned with the time scale for climate change, NZBA Climate scenarios, and New Zealand legislation, including the Zero Carbon Act']",q15
214,HSBC NZ 2023 Climate Statement lodgement letter - signed.pdf,"['short term': 2023, 'medium term': 2024, 'long term': future]",q15
215,RBD 2023 CRD.pdf,"['short term': '2024-2030 (5-6 years)', 'medium term': '2031-2040 (~15 years)', 'long term': '2041-2050 (~25 years)']",q15
216,2023 Climate Statements for Citibank N.A. (New Zealand Branch).pdf,"['short term': 3 years, 'medium term': 10 years, 'long term': 30 years]",q15
217,Z Climate Statements 2023 - FINAL.pdf,"['short term': 2024-2028, 'medium term': 2029-2035, 'long term': 2036-2050]",q15
218,Ventia - 2023 Sustainability Report.pdf,"['short term': 'strategic planning horizon and capital deployment plans', 'medium term': 'Sustainability Strategy', 'long term': 'impact on the environment, social impact, and governance']",q15
219,SC9600 Climate Related Disclosure Final Copy.pdf,"['short term': '2025', 'medium term': '2035', 'long term': '2050']",q15
220,QBE_NZ Climate Statement.pdf,"['short term': 0-3 years, 'medium term': 3-8 years, 'long term': 8+ years]",q15
221,Rabobank New Zealand Banking Group 2023 Climate Statements.pdf,"['short term': now-2030, 'medium term': 2030-2050, 'long term': 2050-2100]",q15
222,AIA NZ Climate Related Disclosers Report FINAL_signed.pdf,"['short term': 'next few years', 'medium term': 'next few decades', 'long term': 'second half of the century']",q15
223,Resilient infrastructure for a decarbonising world (7) - FINAL 28.02.24 9.30pm.pdf,"['short term': 2030, 'medium term': 2050, 'long term': 2100]",q15
224,NZL Climate Related Disclosure.pdf,"['short term': 1-5 years, 'medium term': 6-10 years, 'long term': 10+ years]",q15
225,MIL0019_Climate_Related_Disclosures_2023.pdf,"['short term': 2023-2030, 'medium term': 2031-2050, 'long term': 2051-onwards]",q15
226,CDL0017_Climate_Related_Disclosures_2023.pdf,"['short term': 2023 to 2030, 'medium term': 2031 to 2050, 'long term': 2051 onwards]",q15
227,Citibank N.A. (New Zealand Branch) - Statement - 29 APRIL 2024 .pdf,"['short term': 'N/A', 'medium term': 'N/A', 'long term': 'N/A']",q15
228,2023 12 31 - PFI - Climate-related Disclosures - Signed.pdf,"['short term': '1-6 years', 'medium term': '2031-2050', 'long term': '2051-2100']",q15
229,Vista Group 2023 Group Climate Statement.pdf,"['short term': 2023-2028, 'medium term': 2029-2039, 'long term': 2040-2050]",q15
230,Bank of China (New Zealand) Limited Climate Related Disclosure for the year ended 31 December 2023.pdf,"['short term': 2030, 'medium term': 2050, 'long term': 2080+]",q15
231,Rabobank New Zealand Limited 2023 Climate Statements.pdf,"['short term': 'now until 2030', 'medium term': '2030 to 2050', 'long term': '2050 to 2100']",q15
232,Briscoe Group 2024 Annual Report.pdf,"['short term': 'one to three years', 'medium term': 'three to 10 years', 'long term': '> 10 years']",q15
233,CCBNZL Climate Report for the year ended 31 December 2023.pdf,"['short term': 3 years, 'medium term': 10 years, 'long term': 30 years]
",q15
234,NZX Annual Report 2023 (including climate statement).pdf,"['short term': ""2024-2025"", 'medium term': ""2025-2030"", 'long term': ""2030-2050""]",q15
235,Chubb Life Insurance New Zealand Limited Climate Disclosure 2023.pdf,"{'short term': '1-3 years', 'medium term': '5-10 years', 'long term': '30+ years'}",q15
236,Bank of China New Zealand Banking Group Climate Related Disclosure for the year ended 31 December 2023.pdf.pdf,"['short term': 2030, 'medium term': 2050, 'long term': 2080+]",q15
237,nzm-cs-dec-2023.pdf,"['short term': 2025, 'medium term': 2035, 'long term': 2050]",q15
238,CCBNZBG Climate Report for the year ended 31 December 2023.pdf,"['short term': 3 years, 'medium term': 10 years, 'long term': 30 years]",q15
239,BNZ_2023-Climate-Report.pdf,"['short term': 2030, 'medium term': 2040, 'long term': 2050]",q15
